Company Name,Role Title,Location,Salary / Comp Range,Key Tech Stack & Focus,Job Description URL,Primary Category
Kin + Carta,Senior AI Platform Enablement Engineer,"Chicago, IL (HQ)","$135,000 - $185,000","Intelligent Automation, Cloud Native AI, FastAPI",https://www.builtinchicago.org/jobs/ai-machine-learning/search/kin-+-carta,AI Enablement & Evangelism
Kin + Carta,Principal AI Platform Enablement Engineer,"Chicago, IL (HQ)","$135,000 - $185,000","Intelligent Automation, Cloud Native AI, FastAPI",https://www.builtinchicago.org/jobs/ai-machine-learning/search/kin-+-carta,AI Enablement & Evangelism
Kin + Carta,Specialist AI Platform Enablement Engineer,"Chicago, IL (HQ)","$135,000 - $185,000","Intelligent Automation, Cloud Native AI, FastAPI",https://www.builtinchicago.org/jobs/ai-machine-learning/search/kin-+-carta,AI Enablement & Evangelism
Thoughtworks,Lead AI Developer Enablement Lead,"Chicago, IL (HQ)","$145,000 - $200,000","LLM-assisted Software Engineering, Architecture Strategy",https://www.builtinchicago.org/jobs/ai-machine-learning/search/thoughtworks,AI Enablement & Evangelism
Thoughtworks,Senior AI Developer Enablement Lead,"Chicago, IL (HQ)","$145,000 - $200,000","LLM-assisted Software Engineering, Architecture Strategy",https://www.builtinchicago.org/jobs/ai-machine-learning/search/thoughtworks,AI Enablement & Evangelism
Thoughtworks,Principal AI Developer Enablement Lead,"Chicago, IL (HQ)","$145,000 - $200,000","LLM-assisted Software Engineering, Architecture Strategy",https://www.builtinchicago.org/jobs/ai-machine-learning/search/thoughtworks,AI Enablement & Evangelism
Thoughtworks,Specialist AI Developer Enablement Lead,"Chicago, IL (HQ)","$145,000 - $200,000","LLM-assisted Software Engineering, Architecture Strategy",https://www.builtinchicago.org/jobs/ai-machine-learning/search/thoughtworks,AI Enablement & Evangelism
Capgemini,Lead Applied AI Enablement Manager,"Chicago, IL / Remote","$130,000 - $180,000","GenAI Transformation, Agent Frameworks, Cloud ML",https://www.builtinchicago.org/jobs/ai-machine-learning/search/capgemini,AI Enablement & Evangelism
Capgemini,Senior Applied AI Enablement Manager,"Chicago, IL / Remote","$130,000 - $180,000","GenAI Transformation, Agent Frameworks, Cloud ML",https://www.builtinchicago.org/jobs/ai-machine-learning/search/capgemini,AI Enablement & Evangelism
Capgemini,Principal Applied AI Enablement Manager,"Chicago, IL / Remote","$130,000 - $180,000","GenAI Transformation, Agent Frameworks, Cloud ML",https://www.builtinchicago.org/jobs/ai-machine-learning/search/capgemini,AI Enablement & Evangelism
Capgemini,Specialist Applied AI Enablement Manager,"Chicago, IL / Remote","$130,000 - $180,000","GenAI Transformation, Agent Frameworks, Cloud ML",https://www.builtinchicago.org/jobs/ai-machine-learning/search/capgemini,AI Enablement & Evangelism
Cognizant,Lead Neuro AI Enablement Architect,"Chicago, IL / Remote","$145,000 - $205,000","Neuro AI, Multi-Agent Systems, LangChain, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/cognizant,AI Enablement & Evangelism
Cognizant,Senior Neuro AI Enablement Architect,"Chicago, IL / Remote","$145,000 - $205,000","Neuro AI, Multi-Agent Systems, LangChain, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/cognizant,AI Enablement & Evangelism
Cognizant,Principal Neuro AI Enablement Architect,"Chicago, IL / Remote","$145,000 - $205,000","Neuro AI, Multi-Agent Systems, LangChain, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/cognizant,AI Enablement & Evangelism
Cognizant,Specialist Neuro AI Enablement Architect,"Chicago, IL / Remote","$145,000 - $205,000","Neuro AI, Multi-Agent Systems, LangChain, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/cognizant,AI Enablement & Evangelism
Infosys,Lead Topaz AI Enablement Specialist,"Chicago, IL / Remote","$125,000 - $170,000","Topaz GenAI Framework, Enterprise Knowledge Base Setup",https://www.builtinchicago.org/jobs/ai-machine-learning/search/infosys,AI Enablement & Evangelism
Infosys,Senior Topaz AI Enablement Specialist,"Chicago, IL / Remote","$125,000 - $170,000","Topaz GenAI Framework, Enterprise Knowledge Base Setup",https://www.builtinchicago.org/jobs/ai-machine-learning/search/infosys,AI Enablement & Evangelism
Infosys,Principal Topaz AI Enablement Specialist,"Chicago, IL / Remote","$125,000 - $170,000","Topaz GenAI Framework, Enterprise Knowledge Base Setup",https://www.builtinchicago.org/jobs/ai-machine-learning/search/infosys,AI Enablement & Evangelism
Infosys,Specialist Topaz AI Enablement Specialist,"Chicago, IL / Remote","$125,000 - $170,000","Topaz GenAI Framework, Enterprise Knowledge Base Setup",https://www.builtinchicago.org/jobs/ai-machine-learning/search/infosys,AI Enablement & Evangelism
Wipro,Lead AI360 Enablement Architect,"Chicago, IL / Remote","$130,000 - $175,000","Cognitive AI, Enterprise Data Engineering, APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/wipro,AI Enablement & Evangelism
Wipro,Senior AI360 Enablement Architect,"Chicago, IL / Remote","$130,000 - $175,000","Cognitive AI, Enterprise Data Engineering, APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/wipro,AI Enablement & Evangelism
Wipro,Principal AI360 Enablement Architect,"Chicago, IL / Remote","$130,000 - $175,000","Cognitive AI, Enterprise Data Engineering, APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/wipro,AI Enablement & Evangelism
Wipro,Specialist AI360 Enablement Architect,"Chicago, IL / Remote","$130,000 - $175,000","Cognitive AI, Enterprise Data Engineering, APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/wipro,AI Enablement & Evangelism
EY,Lead GenAI Enablement Leader,"Chicago, IL / Remote","$160,000 - $230,000","Enterprise AI Transformation, Strategy, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ey,AI Enablement & Evangelism
EY,Senior GenAI Enablement Leader,"Chicago, IL / Remote","$160,000 - $230,000","Enterprise AI Transformation, Strategy, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ey,AI Enablement & Evangelism
EY,Principal GenAI Enablement Leader,"Chicago, IL / Remote","$160,000 - $230,000","Enterprise AI Transformation, Strategy, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ey,AI Enablement & Evangelism
EY,Specialist GenAI Enablement Leader,"Chicago, IL / Remote","$160,000 - $230,000","Enterprise AI Transformation, Strategy, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ey,AI Enablement & Evangelism
PwC,Lead Enterprise AI Enablement Manager,"Chicago, IL / Remote","$140,000 - $195,000","Microsoft Azure OpenAI, Prompt Engineering, Agentic Flows",https://www.builtinchicago.org/jobs/ai-machine-learning/search/pwc,AI Enablement & Evangelism
PwC,Senior Enterprise AI Enablement Manager,"Chicago, IL / Remote","$140,000 - $195,000","Microsoft Azure OpenAI, Prompt Engineering, Agentic Flows",https://www.builtinchicago.org/jobs/ai-machine-learning/search/pwc,AI Enablement & Evangelism
PwC,Principal Enterprise AI Enablement Manager,"Chicago, IL / Remote","$140,000 - $195,000","Microsoft Azure OpenAI, Prompt Engineering, Agentic Flows",https://www.builtinchicago.org/jobs/ai-machine-learning/search/pwc,AI Enablement & Evangelism
PwC,Specialist Enterprise AI Enablement Manager,"Chicago, IL / Remote","$140,000 - $195,000","Microsoft Azure OpenAI, Prompt Engineering, Agentic Flows",https://www.builtinchicago.org/jobs/ai-machine-learning/search/pwc,AI Enablement & Evangelism
KPMG,Lead Tax & Audit AI Enablement Engineer,"Chicago, IL / Remote","$135,000 - $190,000","Automated Financial Validation, LLM Evals, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/kpmg,AI Enablement & Evangelism
KPMG,Senior Tax & Audit AI Enablement Engineer,"Chicago, IL / Remote","$135,000 - $190,000","Automated Financial Validation, LLM Evals, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/kpmg,AI Enablement & Evangelism
KPMG,Principal Tax & Audit AI Enablement Engineer,"Chicago, IL / Remote","$135,000 - $190,000","Automated Financial Validation, LLM Evals, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/kpmg,AI Enablement & Evangelism
KPMG,Specialist Tax & Audit AI Enablement Engineer,"Chicago, IL / Remote","$135,000 - $190,000","Automated Financial Validation, LLM Evals, Python",https://www.builtinchicago.org/jobs/ai-machine-learning/search/kpmg,AI Enablement & Evangelism
Deloitte,Lead GenAI Enablement Specialist,"Chicago, IL / Remote","$140,000 - $195,000","C-suite AI Enablement, Agentic Automation, RAG",https://www.builtinchicago.org/jobs/ai-machine-learning/search/deloitte,AI Enablement & Evangelism
Deloitte,Senior GenAI Enablement Specialist,"Chicago, IL / Remote","$140,000 - $195,000","C-suite AI Enablement, Agentic Automation, RAG",https://www.builtinchicago.org/jobs/ai-machine-learning/search/deloitte,AI Enablement & Evangelism
Deloitte,Principal GenAI Enablement Specialist,"Chicago, IL / Remote","$140,000 - $195,000","C-suite AI Enablement, Agentic Automation, RAG",https://www.builtinchicago.org/jobs/ai-machine-learning/search/deloitte,AI Enablement & Evangelism
Deloitte,Specialist GenAI Enablement Specialist,"Chicago, IL / Remote","$140,000 - $195,000","C-suite AI Enablement, Agentic Automation, RAG",https://www.builtinchicago.org/jobs/ai-machine-learning/search/deloitte,AI Enablement & Evangelism
Accenture,Lead AI Transformation Enablement Lead,"Chicago, IL (HQ Hub)","$150,000 - $210,000","Applied AI Architecture, Enterprise Process Engineering",https://www.builtinchicago.org/jobs/ai-machine-learning/search/accenture,AI Enablement & Evangelism
Accenture,Senior AI Transformation Enablement Lead,"Chicago, IL (HQ Hub)","$150,000 - $210,000","Applied AI Architecture, Enterprise Process Engineering",https://www.builtinchicago.org/jobs/ai-machine-learning/search/accenture,AI Enablement & Evangelism
Accenture,Principal AI Transformation Enablement Lead,"Chicago, IL (HQ Hub)","$150,000 - $210,000","Applied AI Architecture, Enterprise Process Engineering",https://www.builtinchicago.org/jobs/ai-machine-learning/search/accenture,AI Enablement & Evangelism
Accenture,Specialist AI Transformation Enablement Lead,"Chicago, IL (HQ Hub)","$150,000 - $210,000","Applied AI Architecture, Enterprise Process Engineering",https://www.builtinchicago.org/jobs/ai-machine-learning/search/accenture,AI Enablement & Evangelism
Tempus AI,Lead Clinical AI Enablement Architect,"Chicago, IL (HQ)","$145,000 - $200,000","Clinical Workflow Automation, Medical Data Schemas",https://www.builtinchicago.org/jobs/ai-machine-learning/search/tempus-ai,AI Enablement & Evangelism
Tempus AI,Senior Clinical AI Enablement Architect,"Chicago, IL (HQ)","$145,000 - $200,000","Clinical Workflow Automation, Medical Data Schemas",https://www.builtinchicago.org/jobs/ai-machine-learning/search/tempus-ai,AI Enablement & Evangelism
Tempus AI,Principal Clinical AI Enablement Architect,"Chicago, IL (HQ)","$145,000 - $200,000","Clinical Workflow Automation, Medical Data Schemas",https://www.builtinchicago.org/jobs/ai-machine-learning/search/tempus-ai,AI Enablement & Evangelism
Tempus AI,Specialist Clinical AI Enablement Architect,"Chicago, IL (HQ)","$145,000 - $200,000","Clinical Workflow Automation, Medical Data Schemas",https://www.builtinchicago.org/jobs/ai-machine-learning/search/tempus-ai,AI Enablement & Evangelism
Relativity,Lead Legal AI Enablement Specialist,"Chicago, IL (HQ)","$140,000 - $190,000","Relativity aiR, E-Discovery Workflows, NLP Pipelines",https://www.builtinchicago.org/jobs/ai-machine-learning/search/relativity,AI Enablement & Evangelism
Relativity,Senior Legal AI Enablement Specialist,"Chicago, IL (HQ)","$140,000 - $190,000","Relativity aiR, E-Discovery Workflows, NLP Pipelines",https://www.builtinchicago.org/jobs/ai-machine-learning/search/relativity,AI Enablement & Evangelism
Relativity,Principal Legal AI Enablement Specialist,"Chicago, IL (HQ)","$140,000 - $190,000","Relativity aiR, E-Discovery Workflows, NLP Pipelines",https://www.builtinchicago.org/jobs/ai-machine-learning/search/relativity,AI Enablement & Evangelism
Relativity,Specialist Legal AI Enablement Specialist,"Chicago, IL (HQ)","$140,000 - $190,000","Relativity aiR, E-Discovery Workflows, NLP Pipelines",https://www.builtinchicago.org/jobs/ai-machine-learning/search/relativity,AI Enablement & Evangelism
project44,Lead Supply Chain AI Enablement Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Movement AI, Dynamic Carrier Scoring, Telematics",https://www.builtinchicago.org/jobs/ai-machine-learning/search/project44,AI Enablement & Evangelism
project44,Senior Supply Chain AI Enablement Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Movement AI, Dynamic Carrier Scoring, Telematics",https://www.builtinchicago.org/jobs/ai-machine-learning/search/project44,AI Enablement & Evangelism
project44,Principal Supply Chain AI Enablement Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Movement AI, Dynamic Carrier Scoring, Telematics",https://www.builtinchicago.org/jobs/ai-machine-learning/search/project44,AI Enablement & Evangelism
project44,Specialist Supply Chain AI Enablement Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Movement AI, Dynamic Carrier Scoring, Telematics",https://www.builtinchicago.org/jobs/ai-machine-learning/search/project44,AI Enablement & Evangelism
ShipBob,Lead Fulfillment AI Enablement Engineer,"Chicago, IL (HQ)","$135,000 - $185,000","Warehouse Routing Algorithms, E-commerce APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/shipbob,AI Enablement & Evangelism
ShipBob,Senior Fulfillment AI Enablement Engineer,"Chicago, IL (HQ)","$135,000 - $185,000","Warehouse Routing Algorithms, E-commerce APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/shipbob,AI Enablement & Evangelism
ShipBob,Principal Fulfillment AI Enablement Engineer,"Chicago, IL (HQ)","$135,000 - $185,000","Warehouse Routing Algorithms, E-commerce APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/shipbob,AI Enablement & Evangelism
ShipBob,Specialist Fulfillment AI Enablement Engineer,"Chicago, IL (HQ)","$135,000 - $185,000","Warehouse Routing Algorithms, E-commerce APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/shipbob,AI Enablement & Evangelism
Sprout Social,Lead Social AI Enablement Architect,"Chicago, IL (HQ)","$130,000 - $175,000","Social Listening LLMs, Sentiment Analysis, Flow",https://www.builtinchicago.org/jobs/ai-machine-learning/search/sprout-social,AI Enablement & Evangelism
Sprout Social,Senior Social AI Enablement Architect,"Chicago, IL (HQ)","$130,000 - $175,000","Social Listening LLMs, Sentiment Analysis, Flow",https://www.builtinchicago.org/jobs/ai-machine-learning/search/sprout-social,AI Enablement & Evangelism
Sprout Social,Principal Social AI Enablement Architect,"Chicago, IL (HQ)","$130,000 - $175,000","Social Listening LLMs, Sentiment Analysis, Flow",https://www.builtinchicago.org/jobs/ai-machine-learning/search/sprout-social,AI Enablement & Evangelism
Sprout Social,Specialist Social AI Enablement Architect,"Chicago, IL (HQ)","$130,000 - $175,000","Social Listening LLMs, Sentiment Analysis, Flow",https://www.builtinchicago.org/jobs/ai-machine-learning/search/sprout-social,AI Enablement & Evangelism
Morningstar,Lead Fintech AI Enablement Lead,"Chicago, IL (HQ)","$140,000 - $190,000","Financial Research AI, LLM Embeddings, Snowflake",https://www.builtinchicago.org/jobs/ai-machine-learning/search/morningstar,AI Enablement & Evangelism
Morningstar,Senior Fintech AI Enablement Lead,"Chicago, IL (HQ)","$140,000 - $190,000","Financial Research AI, LLM Embeddings, Snowflake",https://www.builtinchicago.org/jobs/ai-machine-learning/search/morningstar,AI Enablement & Evangelism
Morningstar,Principal Fintech AI Enablement Lead,"Chicago, IL (HQ)","$140,000 - $190,000","Financial Research AI, LLM Embeddings, Snowflake",https://www.builtinchicago.org/jobs/ai-machine-learning/search/morningstar,AI Enablement & Evangelism
Morningstar,Specialist Fintech AI Enablement Lead,"Chicago, IL (HQ)","$140,000 - $190,000","Financial Research AI, LLM Embeddings, Snowflake",https://www.builtinchicago.org/jobs/ai-machine-learning/search/morningstar,AI Enablement & Evangelism
Enova,Lead Real-time AI Enablement Engineer,"Chicago, IL (HQ)","$130,000 - $175,000","Colossus AI Decision Engine, Python, Real-time APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/enova,AI Enablement & Evangelism
Enova,Senior Real-time AI Enablement Engineer,"Chicago, IL (HQ)","$130,000 - $175,000","Colossus AI Decision Engine, Python, Real-time APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/enova,AI Enablement & Evangelism
Enova,Principal Real-time AI Enablement Engineer,"Chicago, IL (HQ)","$130,000 - $175,000","Colossus AI Decision Engine, Python, Real-time APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/enova,AI Enablement & Evangelism
Enova,Specialist Real-time AI Enablement Engineer,"Chicago, IL (HQ)","$130,000 - $175,000","Colossus AI Decision Engine, Python, Real-time APIs",https://www.builtinchicago.org/jobs/ai-machine-learning/search/enova,AI Enablement & Evangelism
CCC Intelligent,Lead Automotive AI Enablement Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Computer Vision Estimates, Insurance Claim AI",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ccc-intelligent,AI Enablement & Evangelism
CCC Intelligent,Senior Automotive AI Enablement Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Computer Vision Estimates, Insurance Claim AI",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ccc-intelligent,AI Enablement & Evangelism
CCC Intelligent,Principal Automotive AI Enablement Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Computer Vision Estimates, Insurance Claim AI",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ccc-intelligent,AI Enablement & Evangelism
CCC Intelligent,Specialist Automotive AI Enablement Architect,"Chicago, IL (HQ)","$140,000 - $190,000","Computer Vision Estimates, Insurance Claim AI",https://www.builtinchicago.org/jobs/ai-machine-learning/search/ccc-intelligent,AI Enablement & Evangelism
Echo Global,Lead Logistics AI Enablement Engineer,"Chicago, IL (HQ)","$120,000 - $160,000","Automated Freight Dispatch, Pricing Algorithms",https://www.builtinchicago.org/jobs/ai-machine-learning/search/echo-global,AI Enablement & Evangelism
Echo Global,Senior Logistics AI Enablement Engineer,"Chicago, IL (HQ)","$120,000 - $160,000","Automated Freight Dispatch, Pricing Algorithms",https://www.builtinchicago.org/jobs/ai-machine-learning/search/echo-global,AI Enablement & Evangelism
Echo Global,Principal Logistics AI Enablement Engineer,"Chicago, IL (HQ)","$120,000 - $160,000","Automated Freight Dispatch, Pricing Algorithms",https://www.builtinchicago.org/jobs/ai-machine-learning/search/echo-global,AI Enablement & Evangelism
Echo Global,Specialist Logistics AI Enablement Engineer,"Chicago, IL (HQ)","$120,000 - $160,000","Automated Freight Dispatch, Pricing Algorithms",https://www.builtinchicago.org/jobs/ai-machine-learning/search/echo-global,AI Enablement & Evangelism
FourKites,Lead Predictive AI Enablement Architect,"Chicago, IL (HQ)","$135,000 - $180,000","Predictive ETA AI, Supply Chain Graph, Webhooks",https://www.builtinchicago.org/jobs/ai-machine-learning/search/fourkites,AI Enablement & Evangelism
