Skill Name,File Name,Category,Date Created,Last Updated,Version,Status,Source Location,Description,Claude Share Link,Notes
hubspot-import-formatter,hubspot-import-formatter-skill.zip,HubSpot & CRM,2026-03-01,2026-04-01,v1,File - Active,~/Documents/Claude/Projects,"Formats raw data exports into HubSpot-ready import CSVs. Maps fields, cleans data, validates required columns.",https://claude.ai/skills/hubspot-import-formatter,Multiple copies across folders
workflow-builder,workflow-builder-skill.zip,n8n & Automation,2026-04-01,2026-04-01,v1,File - Active,~/Documents/Claude/Projects,Builds n8n and automation workflow designs from plain-English descriptions. Generates node configs and connection logic.,https://claude.ai/skills/workflow-builder,
msa-docusign,msa-docusign-skill.zip,n8n & Automation,2026-03-01,2026-04-01,v1,File - Active,~/Documents/Claude/Projects/MSA Production Automation,"Automates MSA (Master Services Agreement) DocuSign workflow. Routes docs, tracks signatures, updates CRM.",https://claude.ai/skills/msa-docusign,MSA Production Automation project
daily-session-recap,daily-session-recap-skill.zip,Project Management,2026-04-01,2026-04-01,v1,File - Active,~/Documents/Claude/Projects,"Generates daily session recap reports — what was built, decisions made, next steps, time spent.",https://claude.ai/skills/daily-session-recap,
atlas-video-studio,atlas-video-studio-skill.zip,Video & Media,2026-04-01,2026-04-01,v1,File - Active,~/Documents/Claude/Projects,"Atlas video production skill. Builds video scripts, storyboards, and production briefs for Atlas HXM content.",https://claude.ai/skills/atlas-video-studio,Chatterbox TTS integration
avoma-kb,avoma-kb-skill.zip,Project Management,2026-03-01,2026-03-01,v1,File - Active,~/Documents/Claude/Projects,"Avoma knowledge base skill. Retrieves call recordings, transcripts, and insights from Avoma for deal prep and coaching.",https://claude.ai/skills/avoma-kb,
new-project-system,new-project-system-skill.zip,Project Management,2026-04-01,2026-04-01,v2,File - Active,~/Documents/Claude/Projects,"Full new project intake system. Combines intake, scheduling, and JTBD builder into one unified flow.",https://claude.ai/skills/new-project-system,Combines 3 sub-skills
atlas-project-intake,atlas-project-intake-skill.zip,Project Management,2026-04-01,2026-04-01,v1,File - Active,~/Documents/Claude/Projects,"Structured intake form for new Atlas GTM projects. Captures scope, stakeholders, goals, and success criteria.",https://claude.ai/skills/atlas-project-intake,
new-project-intake,new-project-intake-skill.zip,Project Management,2026-04-01,2026-04-01,v1,File - Archive,~/Documents/Claude/Projects,Standalone new project intake skill. Predecessor to new-project-system.,https://claude.ai/skills/new-project-intake,Superseded by new-project-system
new-project-scheduler,new-project-scheduler-skill.zip,Project Management,2026-04-01,2026-04-01,v1,File - Archive,~/Documents/Claude/Projects,Schedules project milestones and sprint cycles from intake data. Now bundled in new-project-system.,https://claude.ai/skills/new-project-scheduler,Superseded by new-project-system
new-project-jtbd-builder,new-project-jtbd-builder-skill.zip,Project Management,2026-04-01,2026-04-01,v1,File - Archive,~/Documents/Claude/Projects,JTBD (Jobs To Be Done) builder for new projects. Generates user stories and value propositions. Now bundled in new-project-system.,https://claude.ai/skills/new-project-jtbd-builder,Superseded by new-project-system
project-handoff,project-handoff-skill.zip,Project Management,2026-03-01,2026-03-01,v1,File - Active,~/Documents/Claude/Projects/Compliance Checker,Project handoff document generator. Creates structured transition docs for stakeholder or team hand-offs.,https://claude.ai/skills/project-handoff,
project-package-planner,project-package-planner-skill.zip,Project Management,2026-04-01,2026-04-01,v1,File - Active,~/Documents/Claude/Projects,"Plans and scopes project deliverable packages — milestones, effort estimates, dependencies.",https://claude.ai/skills/project-package-planner,
case-study-builder,case-study-builder-skill.zip,Content & Copy,2026-04-01,2026-04-01,v1,File - Active,~/Documents/Claude/Projects/Case Study Builder,Builds structured case studies from customer data. Formats into Atlas-branded story arcs with quantified outcomes.,https://claude.ai/skills/case-study-builder,
atlas-proposal-builder-v1,atlas-proposal-builder-v1-skill.zip,Rostr & Artispreneur,2026-03-01,2026-03-01,v1,File - Archive,~/Downloads/Skills,V1 of the Atlas proposal builder. Generates sales proposals from company context and Atlas product info.,https://claude.ai/skills/atlas-proposal-builder,Superseded by v2
atlas-brand-guidelines,atlas-brand-guidelines-skill.zip,Content & Copy,2026-03-01,2026-04-01,v8,File - Active,~/Downloads/Skills,"Atlas HXM brand guidelines skill. Enforces brand voice, visual standards, color palette, and logo usage in all outputs.",https://claude.ai/skills/atlas-brand-guidelines,v8 is current canonical; 6+ duplicates cleaned to Duplicates folder
atlas-presentations-2026,atlas-presentations-2026-skill.zip,Video & Media,2026-03-01,2026-03-01,v2,File - Active,~/Downloads/Skills,2026 Atlas presentation builder. Generates on-brand slide decks and executive presentations.,https://claude.ai/skills/atlas-presentations-2026,Updated from atlas-presentations
atlas-presentation-builder,atlas-presentation-builder-skill.zip,Video & Media,2026-04-01,2026-04-01,v1,File - Active,~/iCloud/Desktop/Atlas/Skills,Builds Atlas sales and marketing presentations. Creates structured decks from brief inputs.,https://claude.ai/skills/atlas-presentation-builder,iCloud version
atlas-eor-knowledge,atlas-eor-knowledge-skill.zip,GTM & Sales,2026-04-01,2026-04-01,v1,File - Active,~/iCloud/Desktop/Atlas/Skills,"Atlas EOR (Employer of Record) knowledge base skill. Answers EOR-specific questions about countries, compliance, payroll.",https://claude.ai/skills/atlas-eor-knowledge,
atlas-gtm-insider,atlas-gtm-insider-skill.zip,GTM & Sales,2026-04-01,2026-04-01,v1,File - Active,~/iCloud/Desktop/Atlas/Skills,"Internal Atlas GTM intelligence skill. Knows Atlas product positioning, battle cards, ICP, and rep playbooks.",https://claude.ai/skills/atlas-gtm-insider,
ai-prospecting-tester,ai-prospecting-tester-skill.zip,GTM & Sales,2026-04-01,2026-04-01,v1,File - Active,~/iCloud/Desktop/Atlas/Skills,Tests and validates AI-generated prospecting outputs against Atlas ICP criteria and messaging standards.,https://claude.ai/skills/ai-prospecting-tester,QA for prospecting automation
factors-ai,factors-ai-skill.zip,GTM & Sales,2026-04-01,2026-04-01,v1,File - Active,~/iCloud/Desktop/Atlas/Skills,Factors.ai integration skill. Pulls intent signals and account engagement data to prioritize outreach.,https://claude.ai/skills/factors-ai,Intent data integration
gtm-architect,gtm-architect-skill.zip,GTM & Sales,2026-04-01,2026-04-01,v1,File - Active,~/iCloud/Desktop/Atlas/Skills,Designs end-to-end GTM motions — from ICP definition through channel strategy and measurement framework.,https://claude.ai/skills/gtm-architect,
clay-daily-report,clay-daily-report-skill.zip,Clay & Prospecting,2026-04-01,2026-04-01,v1,File - Active,~/iCloud/Desktop/Atlas/Skills,"Daily Clay.com enrichment run report. Summarizes contact pulls, credit spend, enrichment hit rates, errors.",https://claude.ai/skills/clay-daily-report,
dashboard-builder,dashboard-builder-skill.zip,Content & Copy,2026-04-01,2026-04-01,v1,File - Active,~/Downloads/Skills,Builds executive dashboards and reporting views from raw data. Generates structured HTML/visual layouts.,https://claude.ai/skills/dashboard-builder,Multiple versions exist
exec-assistant,exec-assistant-skill.zip,Project Management,2026-04-01,2026-04-01,v1,File - Active,~/Downloads/Skills,"Executive assistant skill. Drafts communications, manages meeting summaries, and organizes action items for leadership.",https://claude.ai/skills/exec-assistant,
diagram-builder,diagram-builder-skill.zip,Product & Architecture,2026-06-01,2026-06-01,v1,File - Active,~/rostr-platform/skills,"Builds technical and process diagrams from plain English. Outputs Mermaid, PlantUML, or SVG diagrams.",https://claude.ai/skills/diagram-builder,Diamitani Industries project
instruction-architect,instruction-architect-skill.zip,Product & Architecture,2026-06-01,2026-06-01,v1,File - Active,~/rostr-platform/skills,Designs Claude instruction stacks and system prompts. Architects multi-layer agent instruction hierarchies.,https://claude.ai/skills/instruction-architect,
jtbd-builder,jtbd-builder-skill.zip,Product & Architecture,2026-06-01,2026-06-01,v1,File - Active,~/rostr-platform/skills,"Standalone JTBD (Jobs To Be Done) framework builder. Generates user stories, pain points, and value props.",https://claude.ai/skills/jtbd-builder,
npao,npao-skill.zip,Product & Architecture,2026-06-01,2026-06-01,v1,File - Active,~/rostr-platform/skills,NPAO (Need-Problem-Action-Outcome) framework. Structures problem statements and solution designs for GTM projects.,https://claude.ai/skills/npao,
pal,pal-skill.zip,Product & Architecture,2026-06-01,2026-06-01,v2,File - Active,~/rostr-platform/skills,"PAL (Prompt Architecture Layer) skill. Designs prompt systems, routing logic, and intent parsing layers for AI products.",https://claude.ai/skills/pal,Core skill for AI product design
prd-builder,prd-builder-skill.zip,Product & Architecture,2026-06-01,2026-06-01,v1,File - Active,~/rostr-platform/skills,"PRD (Product Requirements Document) builder. Generates full PRDs from brief inputs with user stories, acceptance criteria, and milestones.",https://claude.ai/skills/prd-builder,
hubspot-customer-agent-analyst,hubspot-customer-agent-analyst,HubSpot & CRM,2026-04-01,2026-04-01,v1,Installed - Active,~/.claude/skills/hubspot-customer-agent-analyst,"Analyzes HubSpot customer agent conversations — pulls transcripts, summarizes interactions, identifies trends.",https://claude.ai/skills/hubspot-customer-agent-analyst,Has Python scripts for data pull
asana-session-ops,asana-session-ops,Project Management,2026-04-01,2026-04-01,v1,Installed - Active,~/.claude/skills/asana-session-ops,Asana session operations skill. Manages task creation and status updates during active work sessions.,https://claude.ai/skills/asana-session-ops,Companion to asana-organizer
session-overview,session-overview-skill.md,Project Management,2026-07-24,2026-07-24,v1,Installed - Active,~/.claude/skills/session-overview,"Session debrief and clarity skill. Reads full transcript — every message, code block, and approval button — and produces structured report of what ran, what you approved, alignment score, and pattern log for future sessions.",https://claude.ai/skills/session-overview,Built this session — surfaces blind approvals
