Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Reid Hoffman and Chris Yeh on Blitzscaling,"Blitzscaling is a growth strategy that prioritizes speed over efficiency in the face of uncertainty. Those bold enough to adopt it must break free from the confines of business school logic to take uncalculated risks that could just as easily lead to abject failure as rapid-fire growth. In this course, LinkedIn founder Reid Hoffman and entrepreneur Chris Yeh break down when and how entrepreneurs and other business leaders should leverage this tactic to get ahead. Reid and Chris—who literally wrote the book on this topic in 2018's <i>Blitzscaling</i>— explain how, despite the potential pitfalls, blitzscaling practices are often the key to scaling massive companies. They share examples of successful blitzscaling, explain how to blitzscale within a larger organization, and more.",Course,2021-10-29 09:04 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2021-05-12 13:12 UTC,N/A,false,N/A,
How to Use Generative AI: Building an AI-First Mindset,"<p>Creating real impact with AI means understanding what generative AI is capable of today—and using that knowledge to stay ahead of future developments. Regardless of your industry, role, and experience, AI can transform your personal and professional development. If you want to learn how to unlock your full potential with AI, this course is for you.
</p><p>
In this course, AI thought leader, advisor, and investor Allie K. Miller provides her insights and guidance on how to thrive in the AI age. She shares real-world examples of generative AI tools in action, as well as her most-used framework to leverage AI to generate added value. Learn how to seamlessly integrate AI into your workflows, enhancing both individual and team productivity. Get the knowledge and tools to use AI for strategic planning, decision-making, and creative problem-solving. By adopting an AI-first mindset, you’ll be better prepared to future-proof your career and lead AI-driven transformations within your organization.",Course,2025-10-27 04:24 UTC,N/A,false,N/A,
How to Train Your Brain For Happiness,"Train your brain for happiness! In this course, happiness professor Jay Kumar, PhD shares insights, exercises, and techniques from cutting-edge research in brain science and behavior. The series investigates the concept of happiness and introduces scientific ways of increasing happiness in your life. You can learn how to unlock the brain’s ability to build social connections and trust among teams, coworkers, customers, and other stakeholders; identify opportunities for creating deeper, more meaningful relationships; and leverage four fundamental strategies to help you promote happiness in the workplace and impact the bottom line. Plus, learn how to build enthusiasm about your company, products, and services and create passionate members of your brand or company tribe. Anyone interested in using happiness to reach their full potential in work and life—including business leaders, HR managers, and marketers—should take this course to increase their happiness quotient.<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2022-09-06 00:55 UTC,N/A,true,N/A,
Excel PivotTable Quick Tips (2022),"Excel PivotTables–which allow you to quickly calculate and analyze large amounts of data–are one of the most powerful features of Microsoft’s ubiquitous spreadsheet tool. But many users have only a basic understanding of how PivotTables work. In this course, instructor Jess Stratton offers a plethora of bite-sized tips designed to deepen your understanding of how PivotTables work and how to use them more effectively.<br><br>Learn how to properly format data and create a basic PivotTable in Excel. Discover ways to adjust, rearrange, and group data to calculate and summarize values that you can put to use on the job. Get tips on data filtering and sorting, conditional formatting, and using PivotCharts and slicers. Along the way, Jess shows how to deal with common PivotTable error messages, such as invalid field names and overlapping reports. By the end of this course, you’ll be able to create more robust PivotTables in minutes—just in time for that next meeting.",Course,2023-06-05 16:07 UTC,N/A,false,N/A,
Think Like a Lawyer to Make Decisions and Solve Problems,"Why would any non-lawyer want to think like a lawyer? What’s the benefit of thinking like a lawyer? In this course, law professor Kim Wehle explains how thinking like a lawyer and employing the legal method of decision making helps eliminate emotional reactivity, confirmation bias, and other decision-making pitfalls in favor of evidentiary-based analysis. Kim highlights key aspects of decision making and problem solving, like identifying stakeholders affected in any decision, the importance of asking the right questions, identifying and prioritizing your goals, and exercising critical listening skills.<br>
When you think like a lawyer, the result is more informed, thorough, and effective decisions that you can feel good about, regardless of the circumstances.",Course,2021-08-04 04:58 UTC,N/A,false,N/A,
Working Professionally with Your Drone,"Drones have become the standard for aerial photography. In the past, photographers and videographers had to hire an airplane or helicopter. Today remote pilots can do the job! Many photographers have an aerial vehicle to supplement their earth-bound cameras. In this course, instructors Luisa Winters and Francis Torres cover in depth the core information you need to do professional work with your drone. Topics include the basis of legal issues; how to get clients; how to fly your drone for construction, cinematic, and real estate clients; special considerations when flying your drone at night; and how to fly for hyperlapses and 360-degree video. Get informed and maximize the potential of your drone!
<br><br>
Note: This course was created by Luisa Winters. We are pleased to host this training in our library.",Course,2021-09-14 17:20 UTC,N/A,false,N/A,
Stop Overthinking and Manage Your Inner Critic,"In this audio-only course from How to Be Awesome at Your Job, <a href=""https://www.linkedin.com/in/melodywilding/?trk=lil_instructor"" target=""_blank"">Melody Wilding</a>—executive coach and the author of <i>Trust Yourself</i>—explains  how to stop overthinking and deal with your inner critic. Melody uses the term “sensitive strivers” to describe highly sensitive and high-achieving professionals. The six traits of sensitive strivers can be summarized using the acronym STRIVE: sensory sensitivity, thoughtfulness, responsibility, inner drive, vigilance, and emotionality. STRIVE strengths can become weaknesses if left unchecked. Becoming aware of these potential dangers is the first step to owning your strength as a sensitive striver. Melody also offers three strategies for taming your inner critic and shares two powerful questions to keep negativity in check.
<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2022-05-16 06:59 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-05-26 18:22 UTC,N/A,false,N/A,
Sales Time Management,"For sales roles in particular, time management is a fundamental requirement and a powerful enhancement to your potential performance and success. However, looming deadlines, demanding customers, and ever-growing targets can make time management a very difficult skill to master. In this course, sales professional and prospecting coach Miles Croft explains how he streamlines tasks and workflows and makes the most of his time to increase sales, hit targets, and decrease stress. Miles explains the concept of a sales clock and provides clear, step-by-step guidance on how to increase efficiency by planning ahead, becoming streamlined, and making the best use of available technology. 
<br><br>
Note: This course was created by Miles Croft. We are pleased to host this training in our library.",Course,2022-08-28 21:17 UTC,N/A,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2023-12-25 09:38 UTC,N/A,false,N/A,
The Startup/SMB Guide to Integrating and Managing AI Agents,"The course explores the evolving role of agentic AI in business, focusing on how entrepreneurs and small business owners can integrate AI agents within their operations. While this field is still theoretical, the course provides a forward-thinking approach to understanding how AI agents will impact people management, decision-making, and business strategy. Join digital transformation expert Ian Barkin to learn the tools to build an agent-ready organization.",Course,2025-07-16 23:38 UTC,N/A,false,N/A,
Demystifying ChatGPT and Generative AI: What Every Professional Needs to Know,"Unlock the secrets of AI in this course with instructor Jules White. This course breaks down complex AI concepts into simple, easy-to-understand lessons, making generative AI accessible to everyone. Learn how to effectively integrate ChatGPT into your professional toolkit, boosting productivity, creativity, and innovation. Business leaders will gain strategic insights to effectively innovate and drive their organizations forward. Whether you're new to AI or looking to enhance your understanding, this course provides the essential knowledge and skills you need to stay ahead in the evolving digital landscape.",Course,2025-03-07 02:03 UTC,N/A,true,N/A,
Ethical Hacking: The Complete Malware Analysis Process,"<p>The key to effectively protecting your systems is understanding the attacks you have to defend them against. Join instructor Malcolm Shore for a hands-on introduction to the many different types of malware that can be used to exploit a target computer.</p> 
<p><b>Explore ethical hacking strategies to:</b></p>
<ul>
<li>Protect your data from different types of malware including viruses, worms, Trojans, and backdoors.</li> 
<li>Identify places where malware hides and detect it to protect your networks and systems against cyberattacks.</li>
<li>Reverse-engineer malware to understand how it operates.</li> 
<li>Identify malware construction kits called “botnets,” which are used to automate malware.</li> 
<li>Understand the use of cryptography in ransomware.</li>
<li>Analyze Win32.Sodin, Log4Shell, Black Energy, and Grey Energy droppers and packers.</li> 
<li>Utilize open-source malware analysis tools such as MITRE ATT$CK and Ghidra.</li>
</ul>",Course,2024-10-24 15:35 UTC,N/A,false,N/A,
Influencer Interview: Oprah Winfrey,"Go behind the scenes with Oprah Winfrey and LinkedIn CEO Jeff Weiner as they discuss Oprah's career, the power of intention, and SuperSoul Sunday.<br><br>
 
In the first segment, Oprah discusses her start in television, the guiding force behind her show, and how her current work is all about connection, spirituality, and the earth. In the second, Oprah talks about the power of belief and intention, and how to determine what ""you ultimately want to do"" and the joy of ""getting it."" In the final segment, Oprah talks about SuperSoul Sunday and how we are all looking for validation.",Course,2019-11-10 03:41 UTC,N/A,false,N/A,
The State of AI and Copyright,"The issue of copyright in AI-generated content is a moving target, but clear patterns are emerging. In this conversation, LinkedIn Learning Senior Staff Instructor Garrick Chow asks AI experts and IP attorneys Matt Hervey and Jennifer Maisel to weigh in with their thoughts on this crucial aspect of Generative AI and its potential impact on the future of content creation and ownership.",Course,2025-11-15 02:45 UTC,N/A,false,N/A,
Reinventing You with Debbie Millman,"When you look at the choices you’ve made in your life, or when you consider your future, do you base your decisions on what’s possible, or on what you believe to be more realistic? There’s a lot to be said for making choices based on safety and stability, but that often comes at the expense of larger dreams. Luckily, it’s never too late to rethink how you think about your future. In this course, creative professional, educator, and strategist Debbie Millman shares her personal life lessons from a career steeped in design and learning from others. She helps you identify the parts of your life you want to pay attention to and those you can accept and leave be. There’s no denying that for most people, change is hard. Check out this course to see how you can evolve your mindset and reinvent yourself to plan and grow for the long term.",Course,2022-08-20 02:07 UTC,N/A,false,N/A,
Train Your Brain to Unwind Stress and Anxiety Habits,"<p>Are you feeling overwhelmed with work and life, but not sure how to respond? Stress and anxiety can be caused by all kinds of triggers that are often driven on a neurological level. In this course, join Judson Brewer MD PhD—psychiatrist, neuroscientist, <i>New York Times</i> best-selling author, and professor at Brown University—to learn how to identify why stress and anxiety can drive powerful habits and behaviors that make you feel even worse.</p><p>Gather insights on recognizing the neurological loop of anxiety, which can lead to increased thoughts and feelings of anxiety. Galvanize your energy to respond quickly and strategically to some of your most negative thoughts, feelings, and behaviors. Along the way, Dr. Brewer shows you how to start making more intentional decisions so that you can break free from cycles of stress and anxiety in both your professional and personal life.</p>",Course,2024-08-08 14:48 UTC,N/A,false,N/A,
How to Find Sales Leads,"Every sale, big or small, begins with a lead. A lead is the root of all business and is essential to any buying process, but they're something so many struggle to find. They're illusive and sometimes deceiving in their value, yet both sales and marketing rely on them not only for growth, but for survival. For a cold caller, this necessity goes even deeper. Salespeople cannot waste precious time on leads that are not ultimately worth following. In this course, sales and prospecting coach Miles Croft explains his tested, simple technique to finding new leads and populating a list large enough to support even the most avid new business prospectors. This course contains a straight-forward step-by-step guide on where to find leads, how to identify good leads and how to continue to gather leads over time faster than your nearest competition.
<br><br>
This course was created by Miles Croft. We are pleased to host this training in our library.",Course,N/A,N/A,true,N/A,
Nano Tips for Smarter Learning and Better Relationships with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shares tips and strategies for building continuous growth—both personal and formulaic—that will enhance your ability to interact with people and strengthen relationships.",Course,2025-12-25 21:15 UTC,N/A,false,N/A,
Body Language for Leaders (2015),"Research shows that when your verbal and nonverbal signals are out of alignment, people are forced to choose between what they hear and what they see. And subconsciously, they'll believe your body language. In this course, workplace body-language expert Carol Kinsey Goman, PhD, reveals how body language is perceived and often misread, and shares the six nonverbal signals you need to know to make a positive first impression. She also discusses the importance of body language for leaders, and shows how you can establish leadership presence. Lastly, she provides simple and effective tips on communicating with gestures and stance.",Course,2019-05-07 16:53 UTC,N/A,false,N/A,
Human Resources: Payroll (2021),"Payroll is a core function in HR. Complex tax and labor laws can make it seem daunting, but with the right tools and techniques, your payroll can function like a well-oiled machine. This course teaches HR professionals how to set up and administer a payroll system. HR consultant Gabriella Parente-Neubert covers 13 of the most common payroll topics, including classifying workers, understanding exempt vs. nonexempt employees, retaining records, and picking a payroll system. She also reviews details such as paying sick and vacation time, understanding the role of benefits in compensation, and processing final wages as the result of termination. Using her guidance, you'll be able to build a successful payroll system that ensures employees are paid correctly and punctually every time.",Course,2020-05-02 23:41 UTC,N/A,false,N/A,
Excel: PivotTables for Beginners (2018),"PivotTables don't have to be scary! This powerful Excel feature cuts the time you spend on formulas in half. In this concise course, Excel trainer Dave Ludwig demystifies PivotTables and shows you how to get started using them to analyze your data. Dave begins by explaining two PivotTable basic building blocks: value fields and row fields. Then he shows you how to adjust a PivotTable by adding fields, filters, and formatting. Finally, Dave shows you how to use special filter buttons which are known as slicers, and he also demonstrates how to use timelines. At the end, he goes over the basics of refreshing and updating a PivotTable.",Course,2023-05-18 15:21 UTC,N/A,true,N/A,
Leading with Generative AI: Master Change Management for Success,"Master the integration of generative AI within organizational change management in this comprehensive course designed for business leaders and transformation specialists. Through 15 focused modules, instructors Christopher White and Bob Higgins offer insights on how to navigate the unique challenges of implementing AI technologies while maintaining organizational stability and growth. This course introduces the innovative FASTER framework, a structured approach specifically designed for AI-driven transformations. Along the way, explore the historical context of AI compared to past technological innovations, strategic approaches to workforce adaptation and development, practical implementations of the FASTER framework for AI integration, methods for building organizational readiness and acceptance, techniques for sustainable change management in the age of AI, and strategies for measuring and replicating transformation success.",Course,2025-02-06 18:31 UTC,N/A,false,N/A,
Learning Google Tag Manager (2020),"Google Tag Manager is a hugely popular technology that allows marketers to easily manage all their website and app tags from one central tool. This, in turn, frees marketers from their dependency on IT or web development departments—when they want to add or alter a snippet of analytics or tracking code, they can do it themselves by adding it to the existing tag container. This course shows marketers how to effectively leverage Google Tag Manager. Discover how to best work with accounts and containers, leverage the Google Analytics built-in tags, work with control versions and user access, create custom variables and JavaScript, fire Google Analytics events using triggers, and more. Plus, discover crucial time-saving best practices that will help you avoid many common mistakes.",Course,N/A,N/A,true,N/A,
Model Context Protocol (MCP): Hands-On with Agentic AI,"The Model Context Protocol (MCP) allows developers to add agent behavior to LLMs by providing a universal protocol providing context to language models so they can interface with data and applications in a consistent way. MCP servers expose resources (data), tools (actions), and prompts (instructions) for the LLM and the user to use in performing more complex operations. In this course you’ll explore how the MCP works in Claude Desktop to extend its functionality, and you’ll build your own MCP servers using Python and TypeScript to give LLMs new capabilities to do things on the computer, connect with external APIs, and perform advanced multi-step actions.",Course,2025-07-14 16:42 UTC,N/A,true,N/A,
Python for Non-Programmers,"<p>Did you know that learning Python is one of the easiest ways to learn to code? It’s true. And in this course you can avoid the jargon and make learning how to code a lot more fun. You don’t have to be an expert technician, either. Join instructor Nick Walter and find out what you need to get started now.</p><p>In this course, Nick teaches the fundamentals of Python to you: a non-programmer, a user with little to no coding experience. Learn more about what Python is, and what it is and isn’t used for. Explore how Python works with numbers and how you can interact with simple programs such as a simple number-guessing game. Find out how to work with text in Python by building a reusable function to count the words in a block of text. And along the way, tackle quick challenges and other games that allow you to put your new skills to the test.</p>",Course,2023-06-21 23:33 UTC,N/A,true,N/A,
Overcoming Procrastination,"Is procrastination preventing you from achieving the goals you want or need to accomplish? In less than half an hour, this course can help you identify why you delay and how you can overcome your procrastination habit once and for all. Instructor and Kelley School of Business senior lecturer Brenda Bailey-Hughes shows how to separate procrastination from other behaviors and identify what causes you to put tasks on the back burner. Throughout the course, Brenda helps you address your procrastination head on, providing strategies that address common reasons for stalling—from boring tasks to an overall lack of confidence.",Course,2021-04-13 22:32 UTC,N/A,false,N/A,
Artificial Intelligence for Cybersecurity,"Find out how to unleash the power of AI for cybersecurity. Cloud and application security leader Sam Sehgal guides you through using AI, with the needed preparation and guardrails, to solve complex cybersecurity problems. Sam defines artificial intelligence and goes over how to apply AI to cybersecurity. He reviews the disciplines of artificial intelligence, as well as the role of machine learning, and he shows you how to differentiate between discriminative AI and generative AI. Sam details the importance of confidentiality, integrity, and availability in any cybersecurity goal and goes over several cybersecurity gaps and goals. Then he dives into actually solving cybersecurity problems with AI and the myriad ways you can apply machine learning to security.",Course,2025-06-15 04:24 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2020-05-06 21:10 UTC,N/A,false,N/A,
AI in Connected Products (AIOT),"<p><b>Projects</b></p>
<ul>
<li>Use Teachable Machine, a no-code AI tool, to build a computer vision model that can pinpoint tire defects by classifying images of tires as either good or bad.</li> 
<li>Use Akkio, a no-code AI tool, to build a machine learning model that helps you understand customer churn.</li> 
<li>Build an intelligent chatbot to talk to IoT.</li>
</ul>

<p>The convergence of artificial intelligence and the Internet of Things is having a profound effect on all industries and walks of life. In this course, Sudha Jamthe discusses how AI and IoT have transformed job roles and businesses, and shows you how to build AI from IoT data using zero code. Along the way, Sudha provides a series of challenges and solutions, demos, and hands-on videos so you can see the lessons in action.</p>",Course,2025-07-04 05:12 UTC,N/A,false,N/A,
Running a Video Production Business,"Get a crash course in running a successful video production business. Whether you are managing a team within a larger organization or running an independent firm, this course can help you get strategic with your productions, solve on-set problems, and deliver results to your clients. Rich Harrington and Amy DeLouise are experienced production company owners who also consult regularly with top in-house teams. They kick off the course with some advice on defining your market and your mission and building out a solid customer base. Rich and Amy also show how to build an effective team of contractors and full-time staff, and establish a technical workflow for smoother productions. Plus, get tips for creating detailed proposals and competitive pricing to help you land more jobs.<br><br>

This course was created by RHED Pixel. We are pleased to offer this training in our library.",Course,2021-11-17 16:22 UTC,N/A,false,N/A,
Delivering an Authentic Elevator Pitch,"Find out how to craft an authentic personal pitch while projecting competence and warmth—two key factors in making a great first impression. Instructor Tatiana Kolovou shares how building trust with people and making a positive first impression isn’t a matter of magic. Tatiana reveals how verbal and nonverbal behaviors can influence the way people react in an initial meeting, whether in person, over the phone, or online.",Course,2021-05-30 04:42 UTC,N/A,false,N/A,
Tips and Tricks for Modern Producers,"Are you interested in taking your productions to the next level? In this course, instructor Evan Sutton shares tips, workarounds, and time-saving techniques that can help music producers work smarter in the studio and enhance their final productions. Evan dives into drum programming and processing, and discusses synth programming, including how to get from MIDI to audio. He also shares practical tips that can help audio engineers as they work with vocals and get their mixes ready for mastering. Plus, learn how to apply EQ precisely, combine additive and subtractive EQ methods, and smooth out peaks and standing resonances with multiband compression.",Course,2021-12-10 21:27 UTC,N/A,false,N/A,
AR for Mobile Developers,"Augmented reality (AR) offers developers an array of possibilities for presenting content in new and interesting ways. If this technology has piqued your interest, but you're unsure of how to approach an AR project from a mobile development standpoint, this course can help. Receive an overview of what AR is and learn about which common traits are present in most successful AR apps, and how to approach popular AR tools from the perspective of a developer or entrepreneur. Instructor Emmanuel Henri first takes a look at defining a successful AR project by reviewing examples of well-executed applications. He then moves through the research and planning phases, discussing what brings value to an AR application, and how to approach interactions and device sizing. He wraps up the course with a look at two of the most popular AR tools on today's market: Unreal Engine and Unity.",Course,2024-04-10 02:47 UTC,N/A,false,N/A,
Master Your Content and Communication: Nano Tips with Jon Youshaei,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, learn practical tips for better storytelling, get exact communication templates, and find out how to avoid common communication mistakes that most people don’t even realize they’re making.</p><p>Join creator, journalist, and advisor Jon Youshaei to learn about how to leverage the three Cs of communication, the EAT formula for headlines and hooks, and the three Ss template to grow your audience. Discover tricks to simplify your speech, create memorable metaphors, and weave in stats more effectively with your stories. By the end of this course, you’ll have the know-how to hold your audience’s attention and structure your stories so people read them from beginning to end.</p>",Course,2023-07-13 21:46 UTC,N/A,false,N/A,
Project Management Tools for WordPress,"<p><b>Prerequisites</b></p>
<ul><li>Familiarity with WordPress and knowledge of desired features in a project management tool are necessary to benefit from this course.
</li></ul><p>

Project management (PM) tools are commonplace, but they can be expensive. They can also offer a ton of features that you don’t want or need. Or maybe, they don’t connect to everything you need them to connect to. Using WordPress, you can build the perfect PM tool for you—or use it as a connector. In this course, Joe Casabona explores popular PM tools, how to connect to third-party apps, and what to consider if you’re going to truly build your own.",Course,2023-06-06 01:27 UTC,N/A,true,N/A,
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 1 The Business Value of Power Platform by Microsoft Press,"<p>Enhance your skills to prepare for the PL-900 exam by learning the basics of the Microsoft Power Platform. Developers of all levels can benefit from the Microsoft Power Platform Fundamentals (PL-900) certification, which vets your ability to leverage Power Platform to improve processes, performance, and business outcomes. In this course—the first in a six-part series designed to familiarize you with the various tools, applications and services included in the Power Platform suite—instructor Craig Zacker covers the Microsoft Dataverse, connectors, Power BI for data visualization, developing apps with Power Apps, automation with Power Automate, and chatbots with Power Virtual Agents. By the end of this course, you’ll have the skills required to start creating your own applications and automated processes to continue to prepare for the PL-900 exam.</p><p>This course was created by Microsoft Press. We are pleased to host this content in our library.</p>",Course,2025-06-04 09:22 UTC,N/A,false,N/A,
